# Species	Genes	Alg.-Conn.	GCF_000007045.1	GCF_000014365.1	GCF_000018965.1	GCF_000018985.1	GCF_000019005.1	GCF_000019025.1	GCF_000019265.1	GCF_000019825.1	GCF_000019985.1	GCF_000196595.1
10	10	0.901	NP_359434.1	WP_001134220.1	WP_001134220.1	WP_001134220.1	WP_001134220.1	WP_001134220.1	WP_001134220.1	WP_001134224.1	WP_001134220.1	WP_001134220.1
10	10	0.904	NP_359481.1	WP_001092739.1	WP_001092701.1	WP_001092739.1	WP_001092701.1	WP_001092700.1	WP_001092703.1	WP_001092704.1	WP_001092736.1	WP_001092700.1
10	10	0.892	NP_359246.1	WP_001134497.1	WP_001134480.1	WP_001134492.1	WP_001134482.1	WP_001134532.1	WP_001134501.1	WP_001134498.1	WP_001134477.1	WP_001134533.1
10	10	0.899	NP_358648.1	WP_001135782.1	WP_001135768.1	WP_001135768.1	WP_001135768.1	WP_001135764.1	WP_001135774.1	WP_001135754.1	WP_001135768.1	WP_001135781.1
10	10	0.902	NP_359006.1	WP_001138809.1	WP_001138810.1	WP_001138813.1	WP_001138817.1	WP_001138814.1	WP_001138808.1	WP_001138803.1	WP_001138807.1	WP_001138814.1
10	10	0.905	NP_359018.1	WP_001140412.1	WP_001140412.1	WP_001140412.1	WP_001140412.1	WP_001140420.1	WP_001140413.1	WP_001140412.1	WP_001140412.1	WP_001140412.1
10	10	0.9	NP_358824.1	WP_001140481.1	WP_001140486.1	WP_001140486.1	WP_001140486.1	WP_001140486.1	WP_001140486.1	WP_001140482.1	WP_001140486.1	WP_001140486.1
10	10	0.906	NP_357992.1	WP_001140948.1	WP_001140948.1	WP_001140948.1	WP_001140948.1	WP_001140948.1	WP_001140948.1	WP_001140948.1	WP_001140948.1	WP_001140948.1
10	10	0.897	NP_358186.1	WP_001142146.1	WP_001142141.1	WP_001142146.1	WP_001142141.1	WP_001142141.1	WP_001142141.1	WP_001142148.1	WP_001142141.1	WP_001142141.1
10	10	0.909	NP_357842.1	WP_001142332.1	WP_001142332.1	WP_001142332.1	WP_001142332.1	WP_001142332.1	WP_001142327.1	WP_001142332.1	WP_001142332.1	WP_001142332.1
10	10	0.899	NP_359028.1	WP_001049323.1	WP_001049323.1	WP_001049323.1	WP_001049323.1	WP_001049313.1	WP_001049323.1	WP_001049326.1	WP_001049323.1	WP_001049323.1
10	10	0.902	NP_358364.1	WP_001041547.1	WP_001041547.1	WP_001041547.1	WP_001041547.1	WP_001041547.1	WP_001041547.1	WP_001041547.1	WP_001041547.1	WP_001041547.1
10	10	0.903	NP_358854.1	WP_001041974.1	WP_001041974.1	WP_001041974.1	WP_001041974.1	WP_001041974.1	WP_001041974.1	WP_001041974.1	WP_001041976.1	WP_001041974.1
10	10	0.903	NP_358618.1	WP_001042588.1	WP_001042606.1	WP_001042568.1	WP_001042590.1	WP_001042597.1	WP_001042601.1	WP_001042597.1	WP_001042599.1	WP_001042597.1
10	10	0.901	NP_357766.1	WP_001042854.1	WP_001042860.1	WP_001042860.1	WP_001042860.1	WP_001042852.1	WP_001042850.1	WP_001042860.1	WP_001042852.1	WP_001042860.1
10	10	0.907	NP_358387.1	WP_001042996.1	WP_001042996.1	WP_001042995.1	WP_001042996.1	WP_001042996.1	WP_001042995.1	WP_001042996.1	WP_001043003.1	WP_001042996.1
10	10	0.914	NP_359519.1	WP_001046144.1	WP_001046144.1	WP_001046141.1	WP_001046145.1	WP_001046144.1	WP_001046144.1	WP_001046145.1	WP_001046145.1	WP_001046144.1
10	10	0.905	NP_358675.1	WP_001047216.1	WP_001047204.1	WP_001047220.1	WP_001047212.1	WP_001047216.1	WP_001047208.1	WP_001047204.1	WP_001047212.1	WP_001047216.1
10	10	0.904	NP_359132.1	WP_001048765.1	WP_001048750.1	WP_001048748.1	WP_001048775.1	WP_001048762.1	WP_001048736.1	WP_001048769.1	WP_001048742.1	WP_001048748.1
10	10	0.895	NP_359206.1	WP_001809903.1	WP_001048906.1	WP_001048906.1	WP_001048906.1	WP_001048906.1	WP_001048906.1	WP_001048906.1	WP_001809903.1	WP_001048906.1
10	10	0.887	NP_358074.1	WP_001041385.1	WP_001041404.1	WP_001041390.1	WP_001041390.1	WP_001041390.1	WP_001041386.1	WP_001041409.1	WP_001041390.1	WP_001041390.1
10	10	0.904	NP_359439.1	WP_001049932.1	WP_001049931.1	WP_001049932.1	WP_001049932.1	WP_001049932.1	WP_001049928.1	WP_001049928.1	WP_001049932.1	WP_001049932.1
10	10	0.901	NP_359009.1	WP_001050085.1	WP_001050086.1	WP_001050085.1	WP_001050085.1	WP_001050086.1	WP_001050086.1	WP_001050086.1	WP_001050086.1	WP_001050086.1
10	10	0.905	NP_359036.1	WP_001050251.1	WP_001050231.1	WP_001050251.1	WP_001050243.1	WP_001050235.1	WP_001050232.1	WP_001050243.1	WP_001050251.1	WP_001050235.1
10	10	0.902	NP_357804.1	WP_001050431.1	WP_001050451.1	WP_001050431.1	WP_001050431.1	WP_001050431.1	WP_001050431.1	WP_001050436.1	WP_001050436.1	WP_001050431.1
10	10	0.904	NP_358473.1	WP_001051750.1	WP_001051754.1	WP_001051750.1	WP_001051753.1	WP_001051750.1	WP_001051750.1	WP_001051750.1	WP_001051747.1	WP_001051750.1
10	10	0.898	NP_358180.1	WP_001051780.1	WP_001051780.1	WP_001051780.1	WP_001051780.1	WP_001051780.1	WP_001051780.1	WP_001051780.1	WP_001051780.1	WP_001051780.1
10	10	0.897	NP_357977.1	WP_001052244.1	WP_001052243.1	WP_001052244.1	WP_001052241.1	WP_001052244.1	WP_001052244.1	WP_001052243.1	WP_001052244.1	WP_001052244.1
10	10	0.905	NP_358237.1	WP_001052655.1	WP_001052655.1	WP_001052655.1	WP_001052655.1	WP_001052655.1	WP_001052652.1	WP_001052655.1	WP_001052655.1	WP_001052655.1
10	10	0.906	NP_359372.1	WP_001036519.1	WP_001813390.1	WP_001036519.1	WP_001813390.1	WP_001036519.1	WP_001036519.1	WP_001036519.1	WP_001813390.1	WP_001036519.1
10	10	0.901	NP_357678.1	WP_001030031.1	WP_001030014.1	WP_001030031.1	WP_001030032.1	WP_001030029.1	WP_001030014.1	WP_001030033.1	WP_001030031.1	WP_001030029.1
10	10	0.904	NP_359099.1	WP_001032420.1	WP_001032420.1	WP_001032420.1	WP_001032417.1	WP_001032405.1	WP_001032403.1	WP_001032415.1	WP_001032415.1	WP_001032415.1
10	10	0.906	NP_357922.1	WP_001032523.1	WP_001032449.1	WP_001032453.1	WP_001032458.1	WP_001032472.1	WP_001032463.1	WP_001032515.1	WP_001032486.1	WP_001032472.1
10	10	0.901	NP_358678.1	WP_001034414.1	WP_001034415.1	WP_001034412.1	WP_001034415.1	WP_001034415.1	WP_001034412.1	WP_001034412.1	WP_001034415.1	WP_001034415.1
10	10	0.901	NP_357962.1	WP_001035008.1	WP_001035000.1	WP_001035031.1	WP_001035004.1	WP_001035020.1	WP_001035029.1	WP_001035007.1	WP_001035032.1	WP_001035020.1
10	10	0.898	NP_357686.1	WP_001035701.1	WP_001035708.1	WP_001035700.1	WP_001035706.1	WP_001035700.1	WP_001035700.1	WP_001035702.1	WP_001035700.1	WP_001035700.1
10	10	0.896	NP_358341.1	WP_001036124.1	WP_001036128.1	WP_001036142.1	WP_001036128.1	WP_001036142.1	WP_001036128.1	WP_001036142.1	WP_001036128.1	WP_001036142.1
10	10	0.906	NP_359348.1	WP_001036271.1	WP_001036282.1	WP_001036277.1	WP_001036293.1	WP_001036271.1	WP_001036271.1	WP_001036273.1	WP_001036280.1	WP_001036271.1
5	5	0.809	*	*	WP_041170982.1	*	WP_001054259.1	*	WP_001054257.1	WP_001054260.1	WP_001054261.1	*
10	10	0.905	NP_359371.1	WP_001036779.1	WP_001036779.1	WP_001036779.1	WP_001036786.1	WP_001036785.1	WP_001036790.1	WP_001036785.1	WP_001036788.1	WP_001036785.1
7	7	0.807	*	*	WP_000731135.1	WP_000731163.1	WP_000725952.1	WP_000731129.1	WP_000731136.1	WP_001037000.1	*	WP_000731129.1
10	10	0.826	NP_358663.1	WP_001037305.1	WP_001037330.1	WP_000359338.1	WP_001037347.1	WP_001037353.1	WP_001037336.1	WP_001037338.1	WP_000359341.1	WP_001037353.1
10	10	0.891	NP_357695.1	WP_001038474.1	WP_001038470.1	WP_001038471.1	WP_001038470.1	WP_001038474.1	WP_001038475.1	WP_001038474.1	WP_001038474.1	WP_001038474.1
10	10	0.889	NP_357923.1	WP_001040011.1	WP_001040001.1	WP_001040022.1	WP_001040012.1	WP_001041857.1	WP_001041860.1	WP_001040024.1	WP_001039987.1	WP_001041857.1
10	10	0.902	NP_358936.1	WP_001040724.1	WP_001040724.1	WP_001040724.1	WP_001040724.1	WP_001040724.1	WP_001040724.1	WP_001040724.1	WP_001040724.1	WP_001040724.1
10	10	0.893	NP_359050.1	WP_001040912.1	WP_001040906.1	WP_001040912.1	WP_001040912.1	WP_001040906.1	WP_001040912.1	WP_001040906.1	WP_001040912.1	WP_001040906.1
10	10	0.897	NP_358679.1	WP_001041071.1	WP_001041076.1	WP_001041072.1	WP_001041079.1	WP_001041079.1	WP_001041079.1	WP_001041079.1	WP_001041069.1	WP_001041079.1
10	10	0.905	NP_357895.1	WP_001082472.1	WP_001082472.1	WP_001082472.1	WP_001082472.1	WP_001082471.1	WP_001082472.1	WP_001082472.1	WP_001082474.1	WP_001082472.1
10	10	0.908	NP_357822.1	WP_001070840.1	WP_001070847.1	WP_001070849.1	WP_001070834.1	WP_001070840.1	WP_001070840.1	WP_001070849.1	WP_001070849.1	WP_001070840.1
10	10	0.9	NP_358849.1	WP_001070908.1	WP_001070908.1	WP_001070908.1	WP_001070908.1	WP_001070908.1	WP_001070908.1	WP_001070908.1	WP_001070908.1	WP_001070908.1
10	10	0.901	NP_358145.1	WP_001074655.1	WP_001074656.1	WP_001074663.1	WP_001074653.1	WP_001074655.1	WP_001074656.1	WP_001074657.1	WP_001074656.1	WP_001074663.1
10	10	0.902	NP_357676.1	WP_001075102.1	WP_001075102.1	WP_001075102.1	WP_001075102.1	WP_001075102.1	WP_001075102.1	WP_001075103.1	WP_001075102.1	WP_001075102.1
4	4	0.949	*	*	*	*	*	WP_001076786.1	WP_001076780.1	WP_001076785.1	*	WP_001076780.1
10	10	0.887	NP_358146.1	WP_001077206.1	WP_001077277.1	WP_001077246.1	WP_001077254.1	WP_001077242.1	WP_001077220.1	WP_001077244.1	WP_001077206.1	WP_001077231.1
10	10	0.902	NP_358231.1	WP_001078223.1	WP_001078234.1	WP_001078231.1	WP_001078224.1	WP_001078231.1	WP_001078231.1	WP_001078224.1	WP_001078222.1	WP_001078231.1
10	10	0.9	NP_358664.1	WP_001078331.1	WP_001078335.1	WP_001078331.1	WP_001078331.1	WP_001078331.1	WP_001078331.1	WP_001078331.1	WP_001078331.1	WP_001078331.1
10	10	0.902	NP_359614.1	WP_001078983.1	WP_001078983.1	WP_001078983.1	WP_001078983.1	WP_001078983.1	WP_001078983.1	WP_001078983.1	WP_001078983.1	WP_001078983.1
8	8	0.927	*	*	WP_001087624.1	WP_001069060.1	WP_001069063.1	WP_001069099.1	WP_001069098.1	WP_001069084.1	WP_001069098.1	WP_001069099.1
10	10	0.903	NP_358617.1	WP_001083034.1	WP_001083024.1	WP_001083032.1	WP_001083035.1	WP_001083024.1	WP_001083026.1	WP_001083024.1	WP_001083017.1	WP_001083024.1
10	10	0.914	NP_358404.1	WP_001085044.1	WP_001085044.1	WP_001085042.1	WP_001085044.1	WP_001085044.1	WP_001085044.1	WP_001085047.1	WP_012386730.1	WP_001085044.1
10	10	0.903	NP_359349.1	WP_001085462.1	WP_001085463.1	WP_001085463.1	WP_001085463.1	WP_001085462.1	WP_001085462.1	WP_001085462.1	WP_001085463.1	WP_001085462.1
10	10	0.902	NP_358150.1	WP_001085675.1	WP_001085675.1	WP_001085681.1	WP_001085675.1	WP_001085670.1	WP_001085675.1	WP_001085675.1	WP_001085677.1	WP_001085677.1
10	10	0.903	NP_357796.1	WP_001085703.1	WP_001085703.1	WP_001085703.1	WP_001085703.1	WP_001085703.1	WP_001085703.1	WP_001085703.1	WP_001085703.1	WP_001085703.1
10	10	0.901	NP_358149.1	WP_001085809.1	WP_001085809.1	WP_001085809.1	WP_001085809.1	WP_001085809.1	WP_001085808.1	WP_001085809.1	WP_001085809.1	WP_001085809.1
10	10	0.899	NP_358482.1	WP_001085888.1	WP_001085888.1	WP_001085888.1	WP_001085888.1	WP_000435090.1	WP_001085885.1	WP_001085886.1	WP_001085888.1	WP_001085888.1
10	10	0.893	NP_358866.1	WP_001090161.1	WP_001090164.1	WP_012677062.1	WP_001090145.1	WP_001090154.1	WP_001090152.1	WP_001090158.1	WP_001090149.1	WP_001090154.1
10	10	0.901	NP_358022.1	WP_001063593.1	WP_001063601.1	WP_001063601.1	WP_001063601.1	WP_001063601.1	WP_001063601.1	WP_001063601.1	WP_001063601.1	WP_001063601.1
10	10	0.906	NP_358459.1	WP_001054489.1	WP_001054489.1	WP_001070098.1	WP_001070103.1	WP_001054488.1	WP_001054489.1	WP_001054492.1	WP_001070099.1	WP_001054489.1
10	10	0.907	NP_358959.1	WP_001054562.1	WP_001054562.1	WP_001054562.1	WP_001054562.1	WP_001054562.1	WP_001054562.1	WP_001054562.1	WP_001054562.1	WP_001054562.1
10	10	0.901	NP_359105.1	WP_001055251.1	WP_001055246.1	WP_001055246.1	WP_001055246.1	WP_001055246.1	WP_001055242.1	WP_001055259.1	WP_001055246.1	WP_001055251.1
10	10	0.898	NP_357784.1	WP_001055347.1	WP_001055347.1	WP_001055347.1	WP_001055347.1	WP_001055347.1	WP_001055347.1	WP_001055347.1	WP_001055347.1	WP_001055347.1
10	10	0.84	NP_359345.1	WP_000289349.1	WP_000289348.1	WP_001055998.1	WP_000289348.1	WP_000289348.1	WP_001055999.1	WP_001055999.1	WP_001055999.1	WP_000289348.1
10	10	0.898	NP_358137.1	WP_001061169.1	WP_001061118.1	WP_001061112.1	WP_001061132.1	WP_001061135.1	WP_001061134.1	WP_001061136.1	WP_001061144.1	WP_001061144.1
10	10	0.9	NP_359048.1	WP_001061594.1	WP_001061591.1	WP_001061594.1	WP_001061594.1	WP_001061593.1	WP_001061594.1	WP_001061591.1	WP_001061594.1	WP_001061593.1
10	10	0.903	NP_357901.1	WP_001063452.1	WP_001063395.1	WP_001063433.1	WP_001063455.1	WP_001063396.1	WP_001063409.1	WP_001063383.1	WP_001063398.1	WP_001063386.1
10	10	0.907	NP_358768.1	WP_001162128.1	WP_001162128.1	WP_001162128.1	WP_001162129.1	WP_001162128.1	WP_001162129.1	WP_001162131.1	WP_001162130.1	WP_001162128.1
10	10	0.905	NP_357779.1	WP_001064217.1	WP_001064208.1	WP_001064214.1	WP_001064211.1	WP_001064212.1	WP_001064220.1	WP_001064210.1	WP_001064208.1	WP_001064212.1
10	10	0.43	NP_359159.1	WP_001064550.1	WP_001064561.1	WP_001064552.1	WP_001064552.1	WP_001064582.1	WP_001064553.1	WP_001064562.1	WP_000386622.1	WP_001064582.1
10	10	0.91	NP_359511.1	WP_001065636.1	WP_001065636.1	WP_001065636.1	WP_001065636.1	WP_001065636.1	WP_001065647.1	WP_001065636.1	WP_001065636.1	WP_001065636.1
10	10	0.895	NP_358050.1	WP_001066302.1	WP_001066295.1	WP_001066295.1	WP_001836079.1	WP_001066299.1	WP_001066301.1	WP_001066295.1	WP_001066295.1	WP_001066299.1
2	2	1	*	*	*	*	*	*	WP_001058278.1	WP_001067144.1	*	*
10	10	0.902	NP_358118.1	WP_001068289.1	WP_001068292.1	WP_001068294.1	WP_001068293.1	WP_001068285.1	WP_001068289.1	WP_001068283.1	WP_001068292.1	WP_001068285.1
10	10	0.9	NP_358764.1	WP_001068668.1	WP_001068669.1	WP_001068669.1	WP_001068669.1	WP_001068669.1	WP_001068669.1	WP_001068669.1	WP_001068669.1	WP_001068669.1
10	10	0.907	NP_359432.1	WP_001069051.1	WP_001069051.1	WP_001069051.1	WP_001069051.1	WP_001069051.1	WP_001069051.1	WP_001069051.1	WP_001069051.1	WP_001069051.1
2	2	1	NP_358803.1	*	*	*	*	*	*	*	WP_001028420.1	*
2	2	1	*	*	*	WP_001834986.1	*	*	*	*	WP_041170893.1	*
2	2	1	*	*	WP_000581381.1	*	*	*	WP_000581380.1	*	*	*
2	2	1	*	*	WP_001093248.1	*	*	*	WP_001093248.1	*	*	*
2	2	1	*	*	WP_001093259.1	*	*	*	WP_001093261.1	*	*	*
2	2	1	*	*	WP_001106632.1	*	*	*	WP_001106634.1	*	*	*
2	2	1	*	*	WP_001199238.1	*	*	*	WP_001199237.1	*	*	*
2	2	1	*	*	WP_001867128.1	*	*	*	WP_001867128.1	*	*	*
2	2	1	*	*	WP_041170950.1	*	*	*	WP_001842052.1	*	*	*
2	2	1	*	*	*	WP_001093470.1	*	*	*	*	WP_000709339.1	*
5	5	0.961	*	*	WP_000028153.1	WP_000028150.1	*	WP_000028151.1	*	WP_000028151.1	*	WP_000028151.1
8	8	0.933	NP_359221.1	WP_000481753.1	WP_000481746.1	WP_000481756.1	WP_000481750.1	WP_000481747.1	*	WP_000481762.1	*	WP_000481747.1
5	5	0.632	NP_358802.1	WP_000822790.1	WP_001818501.1	WP_000822790.1	*	*	*	WP_000822800.1	*	*
8	8	0.736	NP_359222.1	WP_000934017.1	WP_000934017.1	WP_000934017.1	WP_000464460.1	WP_000934017.1	*	WP_000934019.1	*	WP_000934017.1
8	8	0.778	NP_358506.1	WP_000030431.1	WP_000030434.1	WP_001057830.1	WP_000049037.1	WP_001030428.1	*	WP_001030432.1	*	WP_000049036.1
4	4	0.976	*	WP_001812365.1	WP_001810396.1	*	*	WP_001812365.1	*	WP_001810396.1	*	*
4	4	1	*	WP_001814442.1	WP_001814442.1	*	WP_001814442.1	*	*	WP_001814442.1	*	*
3	3	0.939	*	*	WP_001812605.1	WP_012677052.1	*	*	*	WP_001818737.1	*	*
2	2	1	*	*	*	WP_000484012.1	*	*	*	*	WP_000484012.1	*
2	2	1	*	*	WP_049754888.1	*	*	*	*	*	WP_001813578.1	*
2	2	1	*	*	*	*	*	WP_000121258.1	WP_000205175.1	*	*	*
2	2	1	*	*	*	*	*	WP_000409321.1	WP_001192943.1	*	*	*
2	2	1	*	*	*	*	*	WP_000933117.1	WP_000933117.1	*	*	*
3	3	0.374	*	*	WP_000370602.1	*	*	WP_001821496.1	WP_000370602.1	*	*	*
2	2	1	*	*	*	*	*	WP_029645378.1	WP_000772801.1	*	*	*
2	2	1	*	*	*	WP_000389894.1	*	*	*	*	WP_000389894.1	*
2	2	1	*	*	*	WP_000454379.1	*	*	*	*	WP_000454379.1	*
3	3	0.981	*	*	WP_029645948.1	*	*	*	*	WP_041170932.1	*	WP_029645948.1
2	2	1	*	*	*	WP_000539501.1	*	*	*	*	WP_000539501.1	*
2	2	1	*	*	*	WP_000573793.1	*	*	*	*	WP_000573793.1	*
2	2	1	*	*	*	WP_000578434.1	*	*	*	*	WP_000578434.1	*
2	2	1	*	*	*	WP_000601064.1	*	*	*	*	WP_000601059.1	*
2	2	1	*	*	*	WP_000617752.1	*	*	*	*	WP_000617752.1	*
2	2	1	*	*	*	WP_000702183.1	*	*	*	*	WP_000702183.1	*
2	2	1	*	*	*	WP_000861662.1	*	*	*	*	WP_000861662.1	*
2	2	1	*	*	*	WP_001092045.1	*	*	*	*	WP_001813553.1	*
3	3	0.927	NP_358797.1	WP_001076598.1	WP_001076600.1	*	*	*	*	*	*	*
4	4	0.942	NP_357702.1	WP_000781030.1	WP_000781023.1	WP_000781020.1	*	*	*	*	*	*
4	4	0.751	NP_357912.1	WP_000685095.1	WP_000685090.1	*	WP_000685088.1	*	*	*	*	*
5	5	0.919	NP_358087.1	WP_000033780.1	WP_000033780.1	WP_000033775.1	WP_000033774.1	*	*	*	*	*
4	4	0.929	NP_358297.1	WP_000418692.1	WP_000418692.1	WP_000418692.1	*	*	*	*	*	*
4	4	0.929	NP_358655.1	WP_000700439.1	WP_000700423.1	*	WP_000700435.1	*	*	*	*	*
4	4	0.935	NP_358778.1	WP_000150278.1	WP_000150282.1	*	WP_000150279.1	*	*	*	*	*
4	4	0.915	NP_358781.1	WP_033608106.1	WP_033608106.1	*	WP_025173438.1	*	*	*	*	*
4	4	0.931	NP_358782.1	WP_000872894.1	WP_000872894.1	*	WP_000872894.1	*	*	*	*	*
4	4	0.927	NP_357701.1	WP_001096142.1	WP_001096141.1	WP_001096141.1	*	*	*	*	*	*
4	4	0.743	NP_359077.1	WP_001083549.1	WP_001081472.1	WP_001081475.1	*	*	*	*	*	*
2	2	1	*	*	WP_000032095.1	*	WP_000032100.1	*	*	*	*	*
3	3	0.288	*	*	WP_000612394.1	WP_000188937.1	WP_000612387.1	*	*	*	*	*
2	2	1	*	*	WP_000857731.1	*	WP_000857731.1	*	*	*	*	*
2	2	1	*	*	WP_001067623.1	*	WP_001067627.1	*	*	*	*	*
3	3	1	*	*	WP_001209433.1	WP_001209433.1	WP_001209433.1	*	*	*	*	*
3	3	0.99	*	WP_000645310.1	WP_000645310.1	*	WP_049754258.1	*	*	*	*	*
3	3	0.209	*	*	*	WP_000424451.1	*	WP_000424467.1	*	*	*	WP_000424467.1
6	6	0.96	*	WP_001290269.1	WP_001290269.1	WP_001290270.1	WP_000399185.1	WP_001290267.1	*	*	*	WP_001290267.1
7	7	0.932	NP_358884.1	WP_000368971.1	WP_000368969.1	WP_000368971.1	WP_000368971.1	WP_000368968.1	*	*	*	WP_000368968.1
4	4	0.981	*	WP_000422775.1	WP_000422775.1	*	*	WP_000422775.1	*	*	*	WP_000422775.1
6	6	0.894	NP_357703.1	WP_000424424.1	WP_000424422.1	*	WP_000424422.1	WP_000424418.1	*	*	*	WP_000424418.1
6	6	0.681	NP_358996.1	WP_000682783.1	WP_000682811.1	WP_000682803.1	*	WP_000682792.1	*	*	*	WP_000682792.1
5	5	0.985	*	WP_000904684.1	WP_000904709.1	WP_000904709.1	*	WP_000904708.1	*	*	*	WP_000904708.1
4	4	0.97	*	WP_001019247.1	WP_001019249.1	*	*	WP_001019247.1	*	*	*	WP_001019243.1
7	7	0.908	NP_358046.1	WP_001088694.1	WP_001088681.1	WP_001088694.1	WP_001088691.1	WP_001088687.1	*	*	*	WP_001088687.1
6	6	0.927	NP_358997.1	WP_001245194.1	WP_001245197.1	WP_001245198.1	*	WP_001245190.1	*	*	*	WP_001245190.1
2	2	1	*	*	WP_049754883.1	*	*	*	*	*	WP_000740021.1	*
3	3	0.992	*	*	*	*	WP_000115730.1	WP_000115730.1	*	*	*	WP_000115730.1
3	3	0.986	*	*	*	*	WP_000224423.1	WP_000224422.1	*	*	*	WP_000224422.1
7	7	0.737	NP_359552.1	WP_000501061.1	*	WP_000501069.1	WP_000501065.1	WP_000538461.1	*	WP_000501061.1	*	WP_000538461.1
3	3	0.43	*	*	*	*	WP_000981955.1	WP_000567222.1	*	*	*	WP_000567222.1
3	3	0.495	*	*	*	*	WP_001080184.1	WP_001072467.1	*	*	*	WP_001072467.1
4	4	0.969	*	WP_001810944.1	*	*	WP_001841458.1	WP_001821327.1	*	*	*	WP_001821327.1
2	2	1	*	*	*	*	WP_000692797.1	*	*	*	*	WP_001821609.1
4	4	0.801	NP_357700.1	WP_000093185.1	WP_000915349.1	WP_000915350.1	*	*	*	*	*	*
2	2	1	*	*	*	*	WP_000589852.1	*	WP_000161553.1	*	*	*
2	2	1	*	*	*	*	WP_000063886.1	*	WP_000534621.1	*	*	*
3	3	0.951	*	*	WP_000228202.1	*	WP_000228214.1	*	WP_000228218.1	*	*	*
4	4	0.96	*	*	WP_000350532.1	WP_000350534.1	WP_000350458.1	*	WP_000350504.1	*	*	*
3	3	0.978	*	*	WP_000370959.1	*	WP_000370958.1	*	WP_000370959.1	*	*	*
3	3	0.65	*	*	WP_000754954.1	*	WP_000397552.1	*	WP_001028147.1	*	*	*
2	2	1	*	*	*	*	WP_000428160.1	*	WP_000428161.1	*	*	*
3	3	0.9	*	*	WP_000462826.1	*	WP_000462827.1	*	WP_000462823.1	*	*	*
3	3	0.909	*	*	WP_000470343.1	*	WP_000470303.1	*	WP_000470303.1	*	*	*
4	4	0.966	*	*	WP_000058261.1	*	WP_000058253.1	WP_000058260.1	WP_000058253.1	*	*	*
3	3	0.935	*	*	WP_001105098.1	*	WP_000872730.1	*	WP_001105096.1	*	*	*
3	3	0.978	*	*	WP_000876735.1	*	WP_000876726.1	*	WP_000876728.1	*	*	*
3	3	0.978	*	*	WP_000891972.1	*	WP_000891963.1	*	WP_000891969.1	*	*	*
3	3	0.941	*	*	WP_001002347.1	*	WP_001002346.1	*	WP_001002349.1	*	*	*
4	4	0.925	*	*	WP_001091112.1	WP_001019662.1	WP_001091109.1	*	WP_001091107.1	*	*	*
3	3	0.615	*	*	WP_000391810.1	*	WP_001156934.1	*	WP_000391814.1	*	*	*
4	4	0.955	*	*	WP_001854407.1	WP_041172735.1	WP_001844641.1	*	WP_000391842.1	*	*	*
4	4	0.687	*	*	WP_000852245.1	WP_000852252.1	WP_001846936.1	*	WP_000852249.1	*	*	*
3	3	0.946	*	WP_001811699.1	*	*	WP_001812549.1	*	*	*	WP_001811699.1	*
5	5	0.91	NP_357871.1	WP_000580382.1	WP_000580382.1	*	*	WP_000580382.1	*	*	WP_000580382.1	*
6	6	0.782	NP_358890.1	WP_000691850.1	WP_000691853.1	WP_000691850.1	WP_000691855.1	*	*	*	WP_000691855.1	*
3	3	0.907	NP_358205.1	WP_000919280.1	*	*	*	*	*	*	WP_000919277.1	*
3	3	0.959	*	WP_000995820.1	*	WP_000995821.1	*	*	*	*	WP_000995820.1	*
5	5	0.91	NP_357872.2	WP_001029637.1	WP_001029637.1	*	*	WP_001029637.1	*	*	WP_001029637.1	*
5	5	0.907	NP_357874.1	WP_001070943.1	WP_001070943.1	*	*	WP_001070943.1	*	*	WP_001070943.1	*
5	5	0.91	NP_357873.1	WP_001101767.1	WP_001101783.1	*	*	WP_001101781.1	*	*	WP_001101782.1	*
3	3	0.907	NP_358772.1	WP_001171363.1	*	*	*	*	*	*	WP_001171364.1	*
3	3	0.697	*	*	WP_000136460.1	WP_000170931.1	*	*	WP_000136430.1	*	*	*
3	3	0.984	*	WP_001812211.1	*	*	WP_001812211.1	*	*	*	WP_001812211.1	*
3	3	0.907	NP_358201.1	WP_001819855.1	*	*	*	*	*	*	WP_041170894.1	*
2	2	1	*	WP_001819857.1	*	*	*	*	*	*	WP_001819087.1	*
5	5	0.629	*	WP_001821017.1	WP_001213950.1	WP_001814230.1	WP_001213953.1	*	*	*	WP_001814230.1	*
5	5	0.897	NP_358209.1	WP_001856123.1	*	WP_012636582.1	WP_001844602.1	*	*	*	WP_041170895.1	*
3	3	0.941	*	WP_010976518.1	*	WP_001815666.1	*	*	*	*	WP_001815666.1	*
5	5	0.914	NP_357814.1	WP_011681771.1	*	*	WP_001834972.1	WP_001821491.1	*	*	WP_001834972.1	*
3	3	0.759	*	WP_011681782.1	WP_049754882.1	*	*	*	*	*	WP_001835973.1	*
3	3	0.24	*	*	WP_001023505.1	WP_000066238.1	*	*	*	*	WP_000066239.1	*
2	2	1	*	*	WP_000021543.1	*	*	*	*	*	WP_000021543.1	*
2	2	1	*	*	WP_000213830.1	*	*	*	*	*	WP_000213831.1	*
2	2	1	*	*	WP_000244507.1	*	*	*	*	*	WP_000244505.1	*
2	2	1	*	*	WP_000383036.1	*	*	*	*	*	WP_000903082.1	*
2	2	1	*	*	WP_000451103.1	*	*	*	*	*	WP_001813661.1	*
2	2	1	*	*	WP_000662945.1	*	*	*	*	*	WP_000662945.1	*
2	2	1	*	*	WP_000760754.1	*	*	*	*	*	WP_000760755.1	*
2	2	1	*	*	WP_000886362.1	*	*	*	*	*	WP_000886362.1	*
